All Establishment Details,,,,,,,,,,,,
Mar-17,,,,,,,,,,,,
Report Date: 05/01/2017 08:52 AM,,,,,,,,,,,,
Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Alton Owls' Club,120713090,Alton,4,129747.81,117876.01,11871.8,33566,21694.2,11871.8,3561.58,2967.99,593.59
Alton Post #126 American Legion,120911002,Alton,2,17020.99,15945.35,1075.64,5954,4878.54,1075.46,322.63,268.86,53.77
"Alton Post 1308, Veterans of Foreign Wars of the United States",120901471,Alton,5,286116.96,266768.28,19348.68,64388,45039.32,19348.68,5804.57,4837.14,967.43
Alton Truck Stop LLC,140702039,Alton,5,616636.54,575896.41,40740.13,188317,147576.87,40740.13,12222.19,10185.16,2037.03
"Alton-Wood River Sportsmen's Club, Inc.",120701458,Godfrey,4,90869.56,83357.99,7511.57,29349,21837.43,7511.57,2253.52,1877.93,375.59
"ALTUR3, INC.",120702072,Machesney Park,5,233042.8,215011.27,18031.53,75977,57945.97,18031.03,5409.32,4507.77,901.55
"Alva Courier Post #487, The American Legion",120906055,Chester,4,168069.29,156667.32,11401.97,48203,36801.03,11401.97,3420.66,2850.55,570.11
"Alvarez Tacos, Inc.",130704850,Cherry Valley,5,42994.1,37467.65,5526.45,15745,10218.55,5526.45,1658.02,1381.68,276.34
"ALVM, INC.",150703796,Crest Hill,4,115552.93,106177.62,9375.31,37028,27652.69,9375.31,2812.61,2343.85,468.76
"Alwans Place, LLC",160701767,East Peoria,4,192402.08,180471.88,11930.2,64377,52434.55,11942.45,3582.77,2985.65,597.12
Aly Anne's LLC,150702034,Pontiac,5,526622.74,488550.9,38071.84,145441,107369.16,38071.84,11421.58,9517.99,1903.59
AMANDA J SCHMITT LLC,160700569,O'Fallon,3,224988.17,213014.75,11973.42,53328,41354.23,11973.77,3592.17,2993.47,598.7
"AMB Buffet, Inc.",130705916,Machesney Park,3,58153.03,52403.72,5749.31,18034,12284.69,5749.31,1724.79,1437.33,287.46
"Ambraw Post No. 2244, Veterans Of Foreign Wars of the United States",120902098,Lawrenceville,5,308661.04,292868.26,15792.78,76177,60384.22,15792.78,4737.89,3948.24,789.65
Ambraw River Eagles #4475,120803010,Newton,4,62970.81,56237.27,6733.54,19318,12584.46,6733.54,2020.13,1683.45,336.68
AMERICA'S BAR & GRILL LLC,140703956,Hoffman Estates,4,113783.9,101990.43,11793.47,33321,21526.99,11794.01,3538.25,2948.55,589.7
"American Gas & Food Ent Inc.,",150702633,Wadsworth,5,229149.33,210527.49,18621.84,87646,69024.36,18621.64,5586.58,4655.48,931.1
American Hungarian Family Society,150700683,Bloomington,5,157874.37,142682.35,15192.02,51147,35953.98,15193.02,4557.99,3798.33,759.66
"American Legion Clarence V. Scheel Post No. 292 of Mascoutah, Illinois",120906386,Mascoutah,5,242015.44,219387.3,22628.14,64296,41667.61,22628.39,6788.51,5657.09,1131.42
"American Legion Club of Flora, Illinois",120713107,Flora,5,224115.54,203801.96,20313.58,70801,50487.4,20313.6,6094.13,5078.44,1015.69
American Legion Elgin Post 57,130901993,Elgin,5,119061.61,110460.39,8601.22,34147,25545.78,8601.22,2580.37,2150.31,430.06
American Legion Herrin's Prairie Post #645,120906680,Herrin,5,307057.38,286323.31,20734.07,98550,77815.95,20734.05,6220.23,5183.53,1036.7
AMERICAN LEGION MCDONOUGH COUNTY POST #6,120903486,Macomb,3,60013.12,53000.97,7012.15,20771,13758.65,7012.35,2103.75,1753.13,350.62
"American Legion Memorial Association of Thornton, Illinois",120909986,Thornton,5,132314.56,121101.78,11212.78,38903,27690.24,11212.76,3363.86,2803.22,560.64
American Legion Philip Whiteside Post 1961 ,120907755,Orient,5,254176.65,236122.52,18054.13,72147,54096.34,18050.66,5415.22,4512.68,902.54
AMERICAN LEGION POELKER POST NO. 321,120902310,New Baden,4,69669.85,62785.22,6884.63,22580,15695.37,6884.63,2065.42,1721.18,344.24
American Legion Post #364,120905588,Carrier Mills,4,142724.38,130965.02,11759.36,39058,27298.58,11759.42,3527.87,2939.89,587.98
American Legion Post #51,120906949,Westville,5,157970.05,143652.59,14317.46,46420,32102.54,14317.46,4295.28,3579.4,715.88
American Legion Post #932,130900584,Sainte Marie,3,17032.28,16574.35,457.93,6716,6258.07,457.93,137.38,114.48,22.9
AMERICAN LEGION POST 1198,120905409,Chicago Heights,5,180090.56,162838.01,17252.55,61707,44454.45,17252.55,5175.84,4313.2,862.64
American Legion Post 227,120900363,East Moline,3,94613.13,83557.61,11055.52,28546,17490.34,11055.66,3316.8,2764,552.8
American Legion Post 489 Yorkville ,120901989,Kendall County,5,218285.44,201042.87,17242.57,72904,55661.43,17242.57,5172.74,4310.62,862.12
american legion post 71,120900215,Urbana,5,525033.19,479028.4,46004.79,186594,140589.21,46004.79,13801.56,11501.31,2300.25
"AMERICAN LEGION POST NO. 1231, LAKE IN THE HILLS, ILLINOIS",120907902,Lake In the Hills,4,102501.99,94871.6,7630.39,33620,25989.61,7630.39,2289.11,1907.59,381.52
American Legion Post No. 287 Inc.  ,120904755,Rantoul,3,42096.29,36989.43,5106.86,13013,7906.14,5106.86,1532.07,1276.72,255.35
"American Legion Post No.100, Inc.",120911008,Tazewell County,2,47491.41,47407.53,83.88,12881,12797.12,83.88,25.17,20.97,4.2
"AMERICAN LEGION STEGER POST NO. 521 STEGER, ILLINOIS",120908989,Steger,5,252100.65,234196.07,17904.58,72218,54272.37,17945.63,5383.73,4486.45,897.28
American Legion Stookey Post 1255,120902953,St. Clair County,5,242819.98,222814.45,20005.53,63000,42994.62,20005.38,6001.69,5001.41,1000.28
"American Legion Timmerman Benhoff Post 252 Breese, Ill.",120900597,Breese,5,96355.97,86074.56,10281.41,34873,24591.59,10281.41,3084.49,2570.41,514.08
"AMERICAN LEGION, EAST ALTON POST #794",120906952,East Alton,5,121511.4,106404.87,15106.53,34427,19320.27,15106.73,4532.04,3776.7,755.34
"American Legion, Louis E. Davis Post #56, Inc.",150902962,Bloomington,3,7049.05,6295.93,753.12,1987,1233.88,753.12,225.94,188.29,37.65
American Lombardi Society,130705384,Rockford,5,495253.82,461651.18,33602.64,157827,124224.66,33602.34,10080.76,8400.64,1680.12
American Luxemburger Independent Club ,120713093,Aurora,5,279312.54,261708.58,17603.96,85851,68247.04,17603.96,5281.18,4400.98,880.2
"AMF Bowling Centers, Inc.",120707827,Springfield,5,175559.89,160017.64,15542.25,61266,45723.65,15542.35,4662.76,3885.63,777.13
"AMF Bowling Centers, Inc.",120707904,Lyons,5,90158.4,78874.53,11283.87,28021,16737.13,11283.87,3385.28,2821.07,564.21
Amos Jefferson Co. Inc.,120700415,Sangamon County,5,231332.12,211170.88,20161.24,77675,57513.76,20161.24,6048.38,5040.32,1008.06
AMSIA MARKET LLC,160700612,Jerome,5,511134.96,458856.14,52278.82,190769,138490.33,52278.67,15683.71,13069.76,2613.95
AMVET Paul Towne Memorial Post #169,120912052,North Pekin,4,93312.17,84670.39,8641.78,30532,21890.22,8641.78,2592.59,2160.49,432.1
Amvets Greater Peoria Post No. 64,120900192,Peoria,5,215135.28,199539.19,15596.09,68394,52798.03,15595.97,4678.84,3899.03,779.81
AMVETS POST # 103,120909532,Aurora,5,256625.74,239000.23,17625.51,82799,65173.49,17625.51,5287.69,4406.41,881.28
Amvets Post #16,150904263,Litchfield,4,29309.44,24021.34,5288.1,8470,3181.9,5288.1,1586.51,1322.09,264.42
Amvets Post #204 ,120902094,Madison,5,176868.32,166969.19,9899.13,53524,43624.97,9899.03,2969.69,2474.74,494.95
"Amvets, Fisher Post 52 of the Illinois State Department of Amvets, Inc.",150903784,Fisher,3,46691.89,46382.18,309.71,14118,13808.29,309.71,92.93,77.44,15.49
Amy Coffman,150701690,Vermont,2,33207.69,30263.46,2944.23,11065,8120.77,2944.23,883.27,736.06,147.21
"ANC Rainbow, Inc.",120710858,Decatur,5,374014.45,345459.01,28555.44,119460,90904.56,28555.44,8566.71,7138.92,1427.79
"ANCHOR BOAT CLUB OF SPRINGFIELD, ILL.",120710859,Springfield,4,109064.06,100121.7,8942.36,42277,33334.64,8942.36,2682.71,2235.59,447.12
Andres H Orozco,120705643,Galesburg,5,228421.19,214617.52,13803.67,68511,54707.33,13803.67,4141.12,3450.94,690.18
ANDREW G YOUNGER,120701995,Whiteside County,5,243287.22,221558.78,21728.44,73038,51309.56,21728.44,6518.62,5432.19,1086.43
Andrew Gosney,160700432,Quincy,2,171706.21,165642.89,6063.32,50008,43944.68,6063.32,1819.02,1515.85,303.17
Andrew Waters,120707913,Monmouth,5,304712.36,275407.31,29305.05,99319,70013.64,29305.36,8791.65,7326.38,1465.27
"Andrew's Mart, Inc.",131004484,Meredosia,5,247766.7,226005.75,21760.95,76905,55144.17,21760.83,6528.34,5440.29,1088.05
"ANDY AND SOPHIE'S, INC.",120709797,Joliet,3,138183.04,127738.06,10444.98,40287,29842.12,10444.88,3133.54,2611.29,522.25
"ANDY'S DAM INN, INC.",120700490,Wheeling,4,135196.4,124696.59,10499.81,53340,42840.19,10499.81,3149.93,2624.95,524.98
"ANG RESTAURANT, INC.",150700666,Antioch,5,309006.19,282512.34,26493.85,101786,75292.15,26493.85,7948.18,6623.49,1324.69
Angel Duffy,140701265,Ottawa,5,104648.81,92978.28,11670.53,32824,21153.47,11670.53,3501.25,2917.71,583.54
Angela Perry,120707640,Sullivan,4,196430.9,178402.52,18028.38,62806,44777.62,18028.38,5408.58,4507.15,901.43
"Angela's Best Shot, Inc.",160703452,Momence,5,76026.52,68563.24,7463.28,26500,19036.72,7463.28,2239.03,1865.86,373.17
"Angels In The Outfield, Incorporated",140703631,Belgium,5,91376.41,81306.18,10070.23,34861,24790.77,10070.23,3021.17,2517.64,503.53
Ani Petros,120711520,Walnut,3,176361.85,164330.3,12031.55,61859,49827.45,12031.55,3609.5,3007.91,601.59
"Ann-Lee Management, Inc.",120701991,Machesney Park,5,386937.58,359933.68,27003.9,115775,88771.1,27003.9,8101.19,6750.99,1350.2
"Anna Lodge No. 1346, Loyal Order of Moose",120807292,Anna,5,197791.47,184172.71,13618.76,60271,46652.24,13618.76,4085.67,3404.72,680.95
"Anna Maria Pizza, Inc.",160703269,Streator,4,67550.67,60547.29,7003.38,22067,15063.62,7003.38,2101.05,1750.87,350.18
Anna's Cafe LLC - Belvidere,160701745,Belvidere,5,452011.98,421674.66,30337.32,138308,107970.68,30337.32,9101.15,7584.3,1516.85
Anna's Cafe LLC - Cicero,140703121,Cicero,5,722766.59,656850,65916.59,249837,183920.41,65916.59,19775.01,16479.17,3295.84
ANNA'S CAFE LLC - HOFFMAN ESTATES,140703654,Hoffman Estates,5,279401.18,260745.09,18656.09,96588,77931.91,18656.09,5596.87,4664.05,932.82
Anna's Cafe LLC - North Riverside,150703494,North Riverside,5,565825.57,519918.85,45906.72,186431,140524.28,45906.72,13772.07,11476.73,2295.34
ANNA'S CAFE LLC - NORTHLAKE,150700125,Northlake,5,406815.69,371634.73,35180.96,144376,109195.04,35180.96,10554.35,8795.3,1759.05
Anna's Cafe Place LLC,130706234,Westchester,5,660806.1,601357.97,59448.13,228090,168641.62,59448.38,17834.57,14862.15,2972.42
"Anna's Cafe Place, LLC",160700724,Westmont,5,574773.05,529074.3,45698.75,158361,112662.35,45698.65,13709.61,11424.68,2284.93
"Anna-Jonesboro, Illinois Lodge No. 1641 BPO of Elks of the USA",120805216,Anna,5,293142.47,275918.38,17224.09,101916,84691.91,17224.09,5167.31,4306.09,861.22
ANNABCICERO INC.,160700224,Cicero,5,970691.28,890711.4,79979.88,355964,275984.12,79979.88,23994,19995,3999
ANNABCICERO2 INC.,160704218,Cicero,5,688786.28,630999.07,57787.21,248217,190429.79,57787.21,17336.23,14446.86,2889.37
"Anne's Hide-A-Way, LLC",130706096,Naplate,2,23492.51,22330.03,1162.48,6806,5643.52,1162.48,348.73,290.61,58.12
"ANNETTE M. HEIMANN,INC.",120706856,Germantown,4,82709.3,75555.76,7153.54,29956,22802.46,7153.54,2146.07,1788.4,357.67
"ANNIE’S SAZARAC, INC.",120703134,Beardstown,5,201336.91,185641.17,15695.74,52784,37088.31,15695.69,4708.77,3923.98,784.79
Anthony Booth,120700332,Flora,5,655699.71,608051.19,47648.52,155823,108174.38,47648.62,14294.66,11912.22,2382.44
Anthony Shervino,140704222,Watseka,5,89086.26,79220.9,9865.36,25254,15388.59,9865.41,2959.68,2466.4,493.28
ANTHONY VAMBAKETES,130704089,Godfrey,5,224772.11,206789.97,17982.14,63778,45795.71,17982.29,5394.72,4495.61,899.11
ANTHONY WAYNE POST NO 176 OF THE AMERICAN LEGION,120911118,Fairfield,5,261155.6,240463.19,20692.41,68205,47512.59,20692.41,6207.7,5173.08,1034.62
"Anthony's Pizzeria & Pub, Inc",120700756,Manteno,5,196943.08,180805.54,16137.54,60607,44469.46,16137.54,4841.37,4034.48,806.89
Anthos Corporation,120706576,Oak Lawn,5,193820.65,177241.14,16579.51,73221,56641.49,16579.51,4973.84,4144.87,828.97
"Antioch Golf Course, LLC",140700039,Lake County,3,2822.34,2609.14,213.2,1078,864.8,213.2,63.98,53.31,10.67
"Antioch Lodge No. 525, Loyal Order of Moose",140800209,Lake County,4,55043.38,52297.07,2746.31,17616,14869.69,2746.31,823.97,686.64,137.33
"ANYWAY'S BLOOMINGDALE, INC.",140702728,Bloomingdale,3,387896.06,365860.05,22036.01,117225,95188.99,22036.01,6610.84,5509.03,1101.81
"Anyway's, Inc.",120704151,Oakbrook Terrace,5,321196.65,292922.77,28273.88,103825,75550.72,28274.28,8482.36,7068.63,1413.73
AOD MANAGEMENT INC.,130702390,Mount Olive,4,90705.76,80813.15,9892.61,26499,16606.39,9892.61,2967.85,2473.21,494.64
APER PROPERTY MANAGEMENT LLLP,140702453,Logan County,4,122349.17,112136.07,10213.1,39191,28977.85,10213.15,3063.97,2553.31,510.66
"APG Enterprises, Inc.",150701973,Merrionette Park,2,34621.31,30413.91,4207.4,11575,7367.6,4207.4,1262.22,1051.84,210.38
"APG Enterprises, Inc.",150702033,Blue Island,3,76893.89,71766.84,5127.05,24805,19677.95,5127.05,1538.12,1281.77,256.35
"Applegren, Inc.",120700281,Peoria,5,184941.88,170634.06,14307.82,54926,40617.95,14308.05,4292.45,3577.05,715.4
Applezaks Incorporated,140700107,Decatur,5,291565.61,270805.02,20760.59,100596,79835.73,20760.27,6228.16,5190.14,1038.02
"APR 1, Corp.",160701587,Ottawa,5,1124.21,1025.19,99.02,290,190.66,99.34,29.81,24.84,4.97
April Hofer,160702268,Henry,4,142813.81,134486.58,8327.23,39152,30824.92,8327.08,2498.18,2081.82,416.36
Aqua Sports Club ,120704622,Sangamon County,3,69728.8,62408.72,7320.08,21862,14541.92,7320.08,2196.04,1830.03,366.01
"AQUARIUM TAVERN, INC.",120706953,Fox Lake,5,31289.55,28579.5,2710.05,11127,8416.95,2710.05,813.09,677.58,135.51
AR AMUSEMENTS LLC,160703485,Monroe Center,4,7947.88,6743.82,1204.06,2676,1471.89,1204.11,361.24,301.03,60.21
"ARAND ENTERPRISES OF WARREN, INC.",140704218,Warren,5,53647.93,49836.57,3811.36,15909,12097.59,3811.41,1143.48,952.91,190.57
"ARCADIAN PARTNERS, INC.",130705883,Willowbrook,5,173036.75,161269.74,11767.01,54820,43053.14,11766.86,3530.11,2941.76,588.35
"Archer's Tavern, Inc.",160703028,Summit,5,171754.93,155716.99,16037.94,54951,38913.07,16037.93,4811.4,4009.5,801.9
ARCHWAY TAP INC.,140702087,Oglesby,3,60780.6,54380.62,6399.98,21457,15057.02,6399.98,1920.01,1600.01,320
"Arena Enterprises, Inc.",120700324,Palos Hills,5,367032.76,338705.53,28327.23,115146,86818.77,28327.23,8498.21,7081.85,1416.36
Arena Lounge Inc.,130702329,Oak Lawn,5,383599.03,358772.92,24826.11,118491,93664.89,24826.11,7447.85,6206.54,1241.31
Arlington's LLC,140700636,Springfield,2,7381.09,6147.85,1233.24,3241,2007.81,1233.19,369.95,308.29,61.66
"ARM III, Inc.",160703166,Atwood,5,112166.81,103170.08,8996.73,37189,28192.29,8996.71,2699.06,2249.21,449.85
"ARM III, Inc.",160702453,Arthur,5,195333.02,180237.65,15095.37,61653,46557.68,15095.32,4528.73,3773.95,754.78
"Arnie's Idle Hour, Inc.",120712305,Harvey,4,195701.85,177549.33,18152.52,65410,47257.33,18152.67,5445.84,4538.2,907.64
Aroma Park Boating Association,150700989,Aroma Park,2,19144.43,17401.84,1742.59,7066,5323.68,1742.32,522.71,435.59,87.12
AROMA PARK POST 1019 AMERICAN LEGION,120905014,Kankakee County,5,200536.64,186856.01,13680.63,59366,45685.37,13680.63,4104.21,3420.18,684.03
"Around the Corner, Inc.",140704223,Bloomington,5,739469.19,676170.16,63299.03,234589,171290.05,63298.95,18989.74,15824.79,3164.95
ARROWHEAD ALES BREWING COMPANY,160701423,New Lenox,5,5226.87,4817.48,409.39,2309,1899.06,409.94,122.99,102.49,20.5
Arrowhead Country Club,150700460,Peoria County,2,7950.1,6934.01,1016.09,2017,1000.91,1016.09,304.85,254.04,50.81
"Arteaga Enterprises, Inc.",120708124,Berwyn,4,120926.95,108489.46,12437.49,43823,31385.51,12437.49,3731.26,3109.39,621.87
"ARTHUR'S PUB, INC.",130701481,Stone Park,5,367925.17,339640.61,28284.56,102519,74234.29,28284.71,8485.45,7071.21,1414.24
"Arvat 5, Inc.",130706578,Poplar Grove,5,391340.98,362657.43,28683.55,122062,93378.45,28683.55,8605.08,7170.9,1434.18
"As Lake, Inc.",120700529,Victoria,4,168053.67,153473.84,14579.83,43408,28825.53,14582.47,4374.77,3645.64,729.13
ASBS INC.,120701323,Ashmore,5,218371.9,203902.56,14469.34,55524,41054.66,14469.34,4340.86,3617.38,723.48
ASBS INC.,160700095,Casey,4,119444.72,110936.28,8508.44,39031,30522.56,8508.44,2552.53,2127.11,425.42
Ashapura LLC,150702906,Madison,5,335404.69,311062.16,24342.53,110203,85860.47,24342.53,7302.81,6085.67,1217.14
"Ashley Corporation 2, Inc.",120700347,Washington County,5,62463.17,58799.67,3663.5,21845,18181,3664,1099.26,916.05,183.21
ASHLEY'S GAMING INC.,150704127,Sangamon County,5,552402.46,516811.03,35591.43,169068,133476.57,35591.43,10677.52,8897.93,1779.59
"ASPEN TREE, INC.",130701686,Aurora,5,270066.18,251207.45,18858.73,80845,61986.27,18858.73,5657.7,4714.75,942.95
"ASSAGGIO TUTTO, INC.",140703829,McHenry,1,0,0,0,0,202.8,-202.8,-60.84,-50.7,-10.14
"Athens Corner Pub, Inc.",120709661,Athens,4,76382.25,69246.48,7135.77,26583,19447.1,7135.9,2140.83,1784.03,356.8
Attie Gwendolyn Hunt,130704059,Carbondale,4,267039.76,251512.04,15527.72,79225,63702.44,15522.56,4656.81,3880.68,776.13
ATTITUDES BAR & GRILL INC,120701274,Machesney Park,5,258060.32,242119.92,15940.4,83530,67589.6,15940.4,4782.18,3985.15,797.03
"Attitudes Restaurant & Bar, LTD.",120709096,Aurora,5,431056.61,396963.09,34093.52,133688,99594.38,34093.62,10228.14,8523.45,1704.69
"Auburn Oasis Bar & Restaurant, Inc.",130704746,Auburn,3,52117.46,46380.71,5736.75,17144,11407.25,5736.75,1721.06,1434.21,286.85
Auctus LLC,130702568,Bloomington,4,58739.69,55288.47,3451.22,15297,11845.94,3451.06,1035.31,862.76,172.55
"Augustino's Deli, Inc.",150702815,Carol Stream,5,183284.9,169877.57,13407.33,64839,51431.67,13407.33,4022.21,3351.84,670.37
"AUNT BETTY'S BARBEQUE & SPIRITS, LLC",150703124,Decatur,5,418018.02,386616.33,31401.69,145551,114149.27,31401.73,9420.58,7850.48,1570.1
Aurora Athletic Club,130705022,Aurora,3,29164.66,26197,2967.66,11952,8984.34,2967.66,890.33,741.95,148.38
Aurora Bull Dog Co.,160701572,New Lenox,4,104894.41,98359.57,6534.84,32717,26182.16,6534.84,1960.41,1633.67,326.74
"Aurora La Villita, Inc. ",120708740,Aurora,5,174805.25,161022.46,13782.79,49159,35376.21,13782.79,4134.88,3445.74,689.14
Aurora Lodge #400 Loyal Order of Moose,120809533,Aurora,3,26906.52,25303.69,1602.83,8670,7067.17,1602.83,480.88,400.74,80.14
Austin Lee Knoob,160703738,Carbondale,3,67313.44,66185.93,1127.51,25451,24323.49,1127.51,338.23,281.86,56.37
"Austman, Inc.",120709174,Pontiac,4,90748.12,83517.41,7230.71,26658,19427.29,7230.71,2169.24,1807.71,361.53
AVA'S PLACE LLC,150704342,Streamwood,5,625143.96,577687.96,47456,170675,123219,47456,14236.81,11864.01,2372.8
AVALON NIGHTCLUB INC.,170700134,Palos Hills,5,296430.91,272961.85,23469.06,94276,70806.86,23469.14,7040.79,5867.33,1173.46
"Avanti's of Peoria-North, Inc.",160701790,Peoria,3,14012.68,11665.8,2346.88,4917,2570.02,2346.98,704.08,586.74,117.34
Avenue Flower Shop LLC,120708134,Oak Lawn,5,642284.38,594329.42,47954.96,175863,127908.04,47954.96,14386.52,11988.77,2397.75
"Avenue Tap, Inc",120702230,Silvis,5,189616.95,174490.39,15126.56,55491,40364.44,15126.56,4538.02,3781.69,756.33
"AYALAS MEXICAN AMERICAN STEAK HOUSE, INCORPORATED",140704037,Galena,3,82613.98,74162.55,8451.43,29614,21162.61,8451.39,2535.39,2112.82,422.57
"AZSSYR, LLC",150703578,Washington Park,5,66051.01,58626.97,7424.04,30505,23080.96,7424.04,2227.27,1856.06,371.21
"Aztca Mexican Grill, LLC",140703329,Springfield,5,106271.85,96107.17,10164.68,35828,25663.32,10164.68,3049.42,2541.18,508.24
B & A THE CORNER TAP INCORPORATED,120703007,McHenry,5,251017.79,227602.42,23415.37,88613,65197.38,23415.62,7024.79,5854,1170.79
B & B COLEMAN & COMPANY,130700423,Woodstock,5,175191.02,153924.01,21267.01,63300,42032.97,21267.03,6380.18,5316.82,1063.36
"B & B ENTERTAINMENT, INC. ",120700260,Belleville,5,285798.78,265826.43,19972.35,90583,70610.65,19972.35,5991.79,4993.16,998.63
"B & B, INC.",120706453,Farmer City,5,151902.02,139657.24,12244.78,46616,34371.22,12244.78,3673.42,3061.18,612.24
"B & D ENTERTAINMENT, INC.",140700242,Tinley Park,5,312695.28,286137.5,26557.78,94958,68400.22,26557.78,7967.41,6639.51,1327.9
"B & D INVESTMENTS OF ILLINOIS, INC.",120706845,Morris,5,244202.09,222590.66,21611.43,75148,53536.63,21611.37,6483.48,5402.9,1080.58
"B & M 16, Inc.",160700456,Bloomington,5,168335.22,150632.61,17702.61,53594,35906.19,17687.81,5306.44,4422.03,884.41
B & N Holdings LLC,120701158,O'Fallon,5,286525.53,257157.62,29367.91,94846,65478.09,29367.91,8810.41,7342.01,1468.4
B & T Lounge Limited,120700715,Jacksonville,5,268745.61,250436.79,18308.82,79610,61301.18,18308.82,5492.65,4577.21,915.44
"B J's Place, Ltd.",120700256,Rockford,5,541810.85,493650.96,48159.89,154760,106600.11,48159.89,14448.06,12040.05,2408.01
B&E Buss Corporation,120702112,Will County,5,480620.82,429575.41,51045.41,156250,105204.5,51045.5,15313.73,12761.45,2552.28
"B&R Just One More, LLC",120702117,Kincaid,4,100731.05,94328.07,6402.98,32999,26596.02,6402.98,1920.89,1600.74,320.15
"B. C. L. Zapata, Inc.",130703172,Collinsville,3,211869.52,194096.36,17773.16,59044,41270.86,17773.14,5331.95,4443.29,888.66
"B.A.D. SALOON, INC.",120706740,Morrison,5,195214.53,179107.8,16106.73,58957,42850.16,16106.84,4832.08,4026.74,805.34
B.B.K. Post #480 The American Legion,120906470,Steeleville,5,370125.98,347151.42,22974.56,121119,98144.34,22974.66,6892.41,5743.68,1148.73
"B.B.N., Inc.",120712060,North Riverside,4,254972.6,237030.54,17942.06,73922,55979.84,17942.16,5382.7,4485.58,897.12
"B.C.L. Zapata, Inc.",160700126,Fairview Heights,3,119233.23,110974.27,8258.96,33798,25538.99,8259.01,2477.75,2064.79,412.96
